user_login,cluster,umap_x,umap_y
a42147,12,-5.4018607,-3.980314
aabeills,2,-3.3447745,-4.656108
aargon,1,-5.598045,-7.8497877
abnerino,4,-6.474101,-5.882765
abrantes,4,-6.395605,-5.962543
acsga,5,-3.7746162,-2.5820544
actias_cleo,3,-12.683123,-2.893237
adamfromcanada,7,-6.1219554,-10.455747
adelgicio,12,-7.167244,-3.2928507
ademir25,3,-12.653195,-2.6002958
adriana_furim,3,-12.388529,-2.4253972
adrianachagas,11,-2.7270088,-1.7025735
adrianapereira,5,-4.086957,-1.5906001
adrianfaria,4,-5.309627,-4.449702
adriano_klauss,1,-4.028783,-5.8269606
aequoreavictoria,10,-1.5994012,-5.381982
aezanne,8,-2.2046223,-8.33965
afonsomenegola,8,-3.2810988,-8.392938
agatha_dorte,3,-12.089034,-2.6744554
aguara_fusalario,8,-2.745124,-7.1828184
aguara_guazu,5,-4.9938965,-2.521804
agujaceratops,9,-8.699965,-4.402888
aj2359,1,-5.623234,-7.905983
akcz19,5,-3.9259856,-3.202982
alan420,1,-5.6242867,-7.8911977
alan_rafael_santos,4,-6.3796134,-5.751397
alandolopes,7,-4.9167223,-9.371911
ale1973,9,-7.2831564,-4.897925
ale_murra152,1,-5.1365294,-7.3756933
aleeborin,7,-5.7976947,-10.811112
alejo17,1,-4.7409186,-6.4971533
alelolelola,5,-5.0298786,-2.4509692
aleravailhe,11,-3.1444898,-1.4865378
alessandra27734,4,-6.804059,-5.592539
alessandra60327,0,-6.628079,-7.2333617
alessandra90329,1,-3.615906,-7.471933
alessandradalia,5,-3.9289029,-2.6317973
alessandro_lourenco,4,-6.5622163,-5.674034
alessandroabreu,4,-4.982988,-4.276131
alessandrodealmeida,7,-5.8128896,-10.889014
alessandrodm,1,-4.512825,-8.326766
alex_desantossp,3,-12.68735,-2.4832125
alexandra1111,12,-5.9177628,-3.392517
alexandra43345,1,-4.9222245,-6.5690246
alexandratgloria,3,-12.904524,-2.5880702
alexandre-simeone,13,-6.1688013,-1.0134262
alexandre167,7,-5.242039,-10.139893
alexandre_lourenco,9,-7.474493,-4.7575665
alexandreconstanti,12,-6.1606326,-2.8665192
alexandrema59,1,-5.3947387,-7.6049166
alexbio1,8,-2.9376242,-8.01836
alexhenrique,8,-2.365239,-8.49804
alexkessock,7,-6.1473656,-10.303998
alexsatorres,11,-1.6578627,-2.1930277
alice1031,12,-7.2254853,-3.2657819
alicerocha,12,-6.0018177,-3.4146857
aline18942,2,-1.6051441,-3.603454
aline_juquery,12,-6.583322,-2.8999345
alinehorikawa,7,-5.3202963,-10.122619
alinelisboadl,0,-7.6026874,-6.9059134
alison43815,3,-12.801533,-2.620266
alison72,8,-2.8172224,-8.483171
alisonnelson,1,-5.099887,-7.386118
alithiamelo,11,-2.8908613,-2.5515358
allan240120,2,-3.155761,-4.9075847
allan40,9,-7.279475,-3.7753177
allancle,9,-6.7100077,-4.864297
allantnunes,1,-3.950691,-5.9946084
allfeh,4,-5.280543,-4.4487762
altarugio,1,-5.142177,-7.413962
aluizio,8,-2.665446,-8.631275
alves_g_p,13,-6.00162,-1.3330194
alvesjp_biousp,5,-5.001645,-2.4334764
amanagatti,13,-6.3553257,-1.1870877
amanda65938,11,-2.8876488,-2.567863
amanda_sousa,3,-12.320831,-3.1509657
amandacerqueira,2,-3.29958,-4.6831455
amandaduarte,12,-7.2819233,-3.5620077
amar_iana,3,-13.412117,-2.484559
amber777,11,-3.199265,-1.5028626
amsaraiva,5,-4.72282,-3.825254
ana1803,9,-7.684438,-4.766221
ana_carolina38,0,-7.917789,-7.8550763
ana_clara24300,3,-12.7011795,-2.5429397
ana_luna,3,-13.077781,-2.8974009
anabdepaulo,4,-6.4426136,-6.7983646
anacamkw,5,-3.904293,-3.2394524
anacavallet,1,-4.742372,-6.402052
anaclaudia2,9,-7.2086086,-3.8348165
anacristinalugli,5,-3.813191,-2.574953
anafortes,7,-4.6065125,-9.898183
anaghion,11,-2.7686908,-1.5773817
anahi_quispe,9,-7.9146895,-5.477043
anaisprs,12,-6.2401752,-2.8182259
anajp,10,-1.0993398,-5.955172
analetcia2,3,-12.825046,-3.043617
analha,7,-5.599925,-10.8102
analuizamartire,2,-2.161639,-3.5099678
anamuriel,10,-1.0776634,-6.008296
anapaula6,4,-6.6382823,-5.841185
andersonl,4,-6.3659496,-5.921983
andr216,0,-9.077467,-7.0761065
andre_ambrozio,3,-12.343527,-2.97756
andre_kratz_cipriano,10,-1.3521035,-6.5314565
andre_rc,7,-6.108279,-10.453961
andre_saibra,0,-8.458863,-7.012451
andreaab,13,-6.1176124,-0.9667686
andreakautz,7,-6.8722224,-9.110897
andreaprado,8,-2.725071,-8.492253
andrebeckersaidenberg,2,-2.750422,-4.3241034
andrebenedito,12,-5.980262,-3.4489548
andrebenincasa,3,-12.860867,-2.5423872
andrei168,10,-1.7876204,-5.2138796
andreia146,1,-3.775921,-5.825509
andreiaoliveira,1,-3.6836114,-5.991895
andresegatto,6,1.1623563,-3.2139215
andressa98,4,-4.6138854,-4.890286
andressa_mzerbinatti,4,-6.4737077,-4.8558493
andressa_xavier,3,-12.908621,-2.7920446
andressafolly,6,0.24621375,-4.7924967
andressalapa,3,-12.670611,-2.5306406
andressaninin,8,-2.1655383,-8.000102
andretostes,7,-4.687164,-9.006131
andriikh,7,-6.150863,-10.307831
andrseabra,12,-7.147596,-3.2473624
andy56925,1,-4.8263226,-6.536978
andynino,12,-5.825841,-3.3375614
andypitt,1,-4.936656,-6.750219
angela46195,7,-5.1663423,-10.1225
angelamizumoto,2,-3.2831342,-4.570107
angelicasugieda,1,-3.931828,-7.3800154
angelosnk,3,-12.748005,-2.7762556
aninha12,6,1.551888,-3.0798545
anna__14,7,-6.9058676,-9.138857
annaengelke,5,-5.0231175,-2.5832794
annakobayashi,13,-6.1760488,-0.9633836
annika_24,6,1.5219598,-3.0601077
anny-chopie,7,-4.594454,-9.87137
antonio1120,1,-4.806466,-6.5344715
antonio_carlos82546,8,-2.6410408,-8.672278
antonio_ribeiro,3,-12.514124,-2.6011133
antonio_silveira,4,-5.102227,-4.4025702
antoniodb,0,-9.465082,-6.6636276
antoniofrancisco,9,-7.217172,-3.9291794
antoniomarinjr,9,-7.391597,-3.7941768
antonioripoll_,11,-3.077305,-1.5833722
anudibranchmom,0,-6.602955,-7.5007353
apids,8,-2.7506382,-8.688548
aranda_ta,0,-6.620517,-7.536817
arangues,0,-9.480722,-6.6444693
ararauna,0,-9.438102,-7.1527214
argelmartha,0,-8.997359,-7.015283
argosgiampietro,5,-5.064737,-2.4554784
ari80711,6,1.5410527,-3.0706367
